Date (-05:00),Meter AC Power (W),Sensors - Irradiance reference (W/m²)
9/14/2022 0:05,0,
9/14/2022 0:10,0,
9/14/2022 0:15,0,
9/14/2022 0:20,0,
9/14/2022 0:25,0,
9/14/2022 0:30,0,
9/14/2022 0:35,0,
9/14/2022 0:40,0,
9/14/2022 0:45,0,
9/14/2022 0:50,0,
9/14/2022 0:55,0,
9/14/2022 1:00,0,
9/14/2022 1:05,0,
9/14/2022 1:10,0,
9/14/2022 1:15,0,
9/14/2022 1:20,0,
9/14/2022 1:25,0,
9/14/2022 1:30,0,
9/14/2022 1:35,0,
9/14/2022 1:40,0,
9/14/2022 1:45,0,
9/14/2022 1:50,0,
9/14/2022 1:55,0,
9/14/2022 2:00,0,
9/14/2022 2:05,0,
9/14/2022 2:10,0,
9/14/2022 2:15,0,
9/14/2022 2:20,0,
9/14/2022 2:25,0,
9/14/2022 2:30,0,
9/14/2022 2:35,0,
9/14/2022 2:40,0,
9/14/2022 2:45,0,
9/14/2022 2:50,0,
9/14/2022 2:55,0,
9/14/2022 3:00,0,
9/14/2022 3:05,0,
9/14/2022 3:10,0,
9/14/2022 3:15,0,
9/14/2022 3:20,0,
9/14/2022 3:25,0,
9/14/2022 3:30,0,
9/14/2022 3:35,0,
9/14/2022 3:40,0,
9/14/2022 3:45,0,
9/14/2022 3:50,0,
9/14/2022 3:55,0,
9/14/2022 4:00,0,
9/14/2022 4:05,0,
9/14/2022 4:10,0,
9/14/2022 4:15,0,
9/14/2022 4:20,0,
9/14/2022 4:25,0,
9/14/2022 4:30,0,
9/14/2022 4:35,0,
9/14/2022 4:40,0,
9/14/2022 4:45,0,
9/14/2022 4:50,0,
9/14/2022 4:55,0,
9/14/2022 5:00,0,
9/14/2022 5:05,0,
9/14/2022 5:10,0,
9/14/2022 5:15,0,
9/14/2022 5:20,0,
9/14/2022 5:25,0,
9/14/2022 5:30,0,
9/14/2022 5:35,0,
9/14/2022 5:40,0,
9/14/2022 5:45,0,
9/14/2022 5:50,0,
9/14/2022 5:55,0,
9/14/2022 6:00,0,
9/14/2022 6:05,0,
9/14/2022 6:10,0,
9/14/2022 6:15,0,
9/14/2022 6:20,0,
9/14/2022 6:25,0,0.7176
9/14/2022 6:30,0,2.579
9/14/2022 6:35,0,5.7283
9/14/2022 6:40,3225,8.9463
9/14/2022 6:45,144480,12.1576
9/14/2022 6:50,243780,14.5062
9/14/2022 6:55,312435,16.2311
9/14/2022 7:00,401970,18.9811
9/14/2022 7:05,518595,22.4381
9/14/2022 7:10,647745,26.1306
9/14/2022 7:15,796665,30.0516
9/14/2022 7:20,956580,34.7614
9/14/2022 7:25,1073940,38.0661
9/14/2022 7:30,1183560,42.7707
9/14/2022 7:35,1334790,54.5012
9/14/2022 7:40,1575120,69.4078
9/14/2022 7:45,1875120,84.7791
9/14/2022 7:50,2240740,100.0778
9/14/2022 7:55,2720220,117.2597
9/14/2022 8:00,3268690,134.752
9/14/2022 8:05,3876220,152.6293
9/14/2022 8:10,4538420,172.0943
9/14/2022 8:15,5250360,191.3857
9/14/2022 8:20,5989380,210.9163
9/14/2022 8:25,6750070,230.6697
9/14/2022 8:30,7525720,250.9823
9/14/2022 8:35,8308300,270.3607
9/14/2022 8:40,9074560,289.498
9/14/2022 8:45,9862020,308.8613
9/14/2022 8:50,10655800,329.7933
9/14/2022 8:55,11432800,350.1873
9/14/2022 9:00,12199000,369.724
9/14/2022 9:05,12067300,390.8947
9/14/2022 9:10,13743100,411.9647
9/14/2022 9:15,14479100,431.5007
9/14/2022 9:20,15172100,450.079
9/14/2022 9:25,15878700,470.1533
9/14/2022 9:30,16576400,489.76
9/14/2022 9:35,17297800,510.4717
9/14/2022 9:40,18001000,529.984
9/14/2022 9:45,18650800,549.042
9/14/2022 9:50,19311400,568.3353
9/14/2022 9:55,19933200,587.0177
9/14/2022 10:00,20532900,604.7417
9/14/2022 10:05,21143700,621.208
9/14/2022 10:10,21768800,641.1083
9/14/2022 10:15,22353400,657.5023
9/14/2022 10:20,22826000,674.9773
9/14/2022 10:25,23492500,694.1813
9/14/2022 10:30,24074500,712.5027
9/14/2022 10:35,24649000,728.8587
9/14/2022 10:40,25183100,743.669
9/14/2022 10:45,25706200,761.7397
9/14/2022 10:50,26217500,779.1983
9/14/2022 10:55,26736800,794.705
9/14/2022 11:00,27134200,809.532
9/14/2022 11:05,27573900,820.975
9/14/2022 11:10,28057900,836.656
9/14/2022 11:15,28372000,848.5563
9/14/2022 11:20,28616700,858.792
9/14/2022 11:25,28879600,871.111
9/14/2022 11:30,29155300,883.4437
9/14/2022 11:35,29383800,897.086
9/14/2022 11:40,29510000,909.682
9/14/2022 11:45,29557000,922.2617
9/14/2022 11:50,29683000,931.2463
9/14/2022 11:55,29719400,939.818
9/14/2022 12:00,29857800,952.683
9/14/2022 12:05,29956200,960.2707
9/14/2022 12:10,29988300,967.055
9/14/2022 12:15,30035600,974.671
9/14/2022 12:20,30014800,983.7657
9/14/2022 12:25,30018900,989.1663
9/14/2022 12:30,29996700,991.3363
9/14/2022 12:35,29934300,1000.4197
9/14/2022 12:40,29867600,1005.2997
9/14/2022 12:45,30003000,1010.3823
9/14/2022 12:50,29959500,1016.3933
9/14/2022 12:55,29935400,1017.4133
9/14/2022 13:00,29978700,1022.2733
9/14/2022 13:05,30000100,1023.7433
9/14/2022 13:10,30004700,1026.89
9/14/2022 13:15,29996100,1030.3533
9/14/2022 13:20,30002000,1031.2333
9/14/2022 13:25,29977400,1031.7633
9/14/2022 13:30,30002100,1026.7833
9/14/2022 13:35,29985500,1024.2233
9/14/2022 13:40,29987300,1021.8333
9/14/2022 13:45,29991600,1020.62
9/14/2022 13:50,29995400,1019.5633
9/14/2022 13:55,29986500,1013.5933
9/14/2022 14:00,29995600,1011.43
9/14/2022 14:05,30007000,1007.8947
9/14/2022 14:10,29994200,1003.7547
9/14/2022 14:15,30018200,1002.412
9/14/2022 14:20,29950500,992.7023
9/14/2022 14:25,29982900,985.1353
9/14/2022 14:30,30007100,978.4797
9/14/2022 14:35,29993800,971.9197
9/14/2022 14:40,29992200,966.848
9/14/2022 14:45,30001800,954.6713
9/14/2022 14:50,29998200,947.091
9/14/2022 14:55,29990000,940.0517
9/14/2022 15:00,29964700,926.9537
9/14/2022 15:05,29758800,918.112
9/14/2022 15:10,29581300,909.7327
9/14/2022 15:15,29146100,892.7307
9/14/2022 15:20,28986000,884.142
9/14/2022 15:25,28613300,871.8433
9/14/2022 15:30,28206300,859.038
9/14/2022 15:35,27895700,846.21
9/14/2022 15:40,27544900,834.391
9/14/2022 15:45,27011400,815.914
9/14/2022 15:50,26558300,801.7877
9/14/2022 15:55,26063500,785.9817
9/14/2022 16:00,25503600,769.419
