Date (-05:00),Irradiance Reference (Link) (W/m²),Meter AC Power (W)
8/1/2022 0:15,,0
8/1/2022 0:30,,0
8/1/2022 0:45,,0
8/1/2022 1:00,0,0
8/1/2022 1:15,,0
8/1/2022 1:30,,0
8/1/2022 1:45,,0
8/1/2022 2:00,,0
8/1/2022 2:15,,0
8/1/2022 2:30,,0
8/1/2022 2:45,,0
8/1/2022 3:00,0,0
8/1/2022 3:15,,0
8/1/2022 3:30,,0
8/1/2022 3:45,,0
8/1/2022 4:00,0,0
8/1/2022 4:15,,0
8/1/2022 4:30,,0
8/1/2022 4:45,0,0
8/1/2022 5:00,0,0
8/1/2022 5:15,0,0
8/1/2022 5:30,,0
8/1/2022 5:45,,0
8/1/2022 6:00,3.1087,0
8/1/2022 6:15,19.2646,0
8/1/2022 6:30,52.617,314765
8/1/2022 6:45,75.4514,616325
8/1/2022 7:00,103.5,893588.3333
8/1/2022 7:15,120.8151,1038483.333
8/1/2022 7:30,158.7431,1289800
8/1/2022 7:45,258.0334,1787643.333
8/1/2022 8:00,375.4285,3067603.333
8/1/2022 8:15,564.5391,5297446.667
8/1/2022 8:30,887.5723,9031643.333
8/1/2022 8:45,1050.3133,11018533.33
8/1/2022 9:00,1077.5957,11324700
8/1/2022 9:15,1212.2307,11972566.67
8/1/2022 9:30,1209.3073,13448206.67
8/1/2022 9:45,899.2593,12303200
8/1/2022 10:00,1645.6913,19167400
8/1/2022 10:15,1789.5927,21366400
8/1/2022 10:30,2123.539,21833633.33
8/1/2022 10:45,2273.7097,24726200
8/1/2022 11:00,2408.5963,25351133.33
8/1/2022 11:15,2372.3697,26704166.67
8/1/2022 11:30,2173.419,24947800
8/1/2022 11:45,2435.7253,26548200
8/1/2022 12:00,1631.095,19784366.67
8/1/2022 12:15,1454.466,21559433.33
8/1/2022 12:30,2888.295,28207733.33
8/1/2022 12:45,3048.184,28595500
8/1/2022 13:00,3022.7493,26548000
8/1/2022 13:15,2026.4563,19578333.33
8/1/2022 13:30,2067.5293,18882533.33
8/1/2022 13:45,563.819,6105773.333
8/1/2022 14:00,665.743,7537353.333
8/1/2022 14:15,471.7997,5549506.667
8/1/2022 14:30,317.5297,3712156.667
8/1/2022 14:45,277.6147,3237996.667
8/1/2022 15:00,241.9903,2763180
8/1/2022 15:15,93.839,773165
8/1/2022 15:30,219.4961,2380803.333
8/1/2022 15:45,374.7525,4610830
8/1/2022 16:00,477.5643,5912343.333
8/1/2022 16:15,560.0333,6843180
8/1/2022 16:30,568.4217,6826266.667
8/1/2022 16:45,562.9763,6686356.667
8/1/2022 17:00,519.101,6174940
8/1/2022 17:15,382.4427,4432896.667
8/1/2022 17:30,354.6647,4080866.667
8/1/2022 17:45,341.3177,3872160
8/1/2022 18:00,292.921,3189686.667
8/1/2022 18:15,251.335,2653880
8/1/2022 18:30,212.7212,2183430
8/1/2022 18:45,177.3009,1731636.667
8/1/2022 19:00,135.194,1223103.333
8/1/2022 19:15,102.5734,827260
8/1/2022 19:30,50.6616,245665
8/1/2022 19:45,6.9441,0
8/1/2022 20:00,0.2391,0
8/1/2022 20:15,,0
8/1/2022 20:30,0.9146,0
8/1/2022 20:45,0.3479,0
8/1/2022 21:00,0,0
8/1/2022 21:15,0,0
8/1/2022 21:30,,0
8/1/2022 21:45,,0
8/1/2022 22:00,0,0
8/1/2022 22:15,,0
8/1/2022 22:30,,0
8/1/2022 22:45,0.2391,0
8/1/2022 23:00,0,0
8/1/2022 23:15,,0
8/1/2022 23:30,,0
8/1/2022 23:45,,0
8/2/2022 0:00,,0
8/2/2022 0:15,0,0
8/2/2022 0:30,0,0
8/2/2022 0:45,0.2391,0
8/2/2022 1:00,0,0
8/2/2022 1:15,,0
8/2/2022 1:30,0,0
8/2/2022 1:45,0,0
8/2/2022 2:00,0.2391,0
8/2/2022 2:15,,0
8/2/2022 2:30,,0
8/2/2022 2:45,,0
8/2/2022 3:00,0,0
8/2/2022 3:15,,0
8/2/2022 3:30,,0
8/2/2022 3:45,0,0
8/2/2022 4:00,0,0
8/2/2022 4:15,,0
8/2/2022 4:30,0,0
8/2/2022 4:45,0,0
8/2/2022 5:00,,0
8/2/2022 5:15,,0
8/2/2022 5:30,,0
8/2/2022 5:45,0,0
8/2/2022 6:00,1.9129,0
8/2/2022 6:15,18.6312,0
8/2/2022 6:30,47.6078,250980
8/2/2022 6:45,75.3796,592470
8/2/2022 7:00,103.1183,898380
8/2/2022 7:15,126.6402,1129620
8/2/2022 7:30,175.4973,1485850
8/2/2022 7:45,292.3495,2149313.333
8/2/2022 8:00,428.0873,3524653.333
8/2/2022 8:15,643.2033,6312493.333
8/2/2022 8:30,988.7673,10662566.67
8/2/2022 8:45,768.961,8285200
8/2/2022 9:00,1166.3417,12931700
8/2/2022 9:15,662.037,7564863.333
8/2/2022 9:30,301.7858,3111343.333
8/2/2022 9:45,651.936,8031393.333
8/2/2022 10:00,1513.9497,18038866.67
8/2/2022 10:15,1299.4013,15318666.67
8/2/2022 10:30,1117.279,13225566.67
8/2/2022 10:45,1315.654,16260766.67
8/2/2022 11:00,1365.5683,17598933.33
8/2/2022 11:15,2438.716,23757500
8/2/2022 11:30,1412.7717,15640900
8/2/2022 11:45,1611.4003,17576933.33
8/2/2022 12:00,1708.9563,20667466.67
8/2/2022 12:15,2698.1633,27440966.67
8/2/2022 12:30,3188.7417,28892666.67
8/2/2022 12:45,2860.198,27358233.33
8/2/2022 13:00,2003.7923,22605033.33
8/2/2022 13:15,1491.2023,17170733.33
8/2/2022 13:30,1315.1307,15812533.33
8/2/2022 13:45,1096.5727,13424300
8/2/2022 14:00,528.525,6108820
8/2/2022 14:15,587.0113,7204853.333
8/2/2022 14:30,500.2703,7757400
8/2/2022 14:45,347.179,3775900
8/2/2022 15:00,323.073,3876823.333
8/2/2022 15:15,286.9706,3408016.667
8/2/2022 15:30,273.1182,3229830
8/2/2022 15:45,299.0292,3526410
8/2/2022 16:00,284.2162,3263090
8/2/2022 16:15,223.3926,2529543.333
8/2/2022 16:30,174.9381,2341270
8/2/2022 16:45,206.9423,2618820
8/2/2022 17:00,218.308,2429253.333
8/2/2022 17:15,285.6957,3248156.667
8/2/2022 17:30,310.3509,3522833.333
8/2/2022 17:45,274.4556,3045743.333
8/2/2022 18:00,213.6946,2285773.333
8/2/2022 18:15,177.1482,1776366.667
8/2/2022 18:30,137.3721,1270963.333
8/2/2022 18:45,110.8791,951390
8/2/2022 19:00,99.44,810515
8/2/2022 19:15,68.62,451285
8/2/2022 19:30,29.2126,60690
8/2/2022 19:45,5.5418,0
8/2/2022 20:00,0,0
8/2/2022 20:15,,0
8/2/2022 20:30,,0
8/2/2022 20:45,0,0
8/2/2022 21:00,0,0
8/2/2022 21:15,0,0
8/2/2022 21:30,0,0
8/2/2022 21:45,,0
8/2/2022 22:00,,0
8/2/2022 22:15,,0
8/2/2022 22:30,,0
8/2/2022 22:45,0,0
8/2/2022 23:00,,0
8/2/2022 23:15,0,0
8/2/2022 23:30,0,0
8/2/2022 23:45,0,0
8/3/2022 0:00,0,0
8/3/2022 0:15,,0
8/3/2022 0:30,0,0
8/3/2022 0:45,,0
8/3/2022 1:00,,0
8/3/2022 1:15,,0
8/3/2022 1:30,0,0
8/3/2022 1:45,0,0
8/3/2022 2:00,,0
8/3/2022 2:15,,0
8/3/2022 2:30,0,0
8/3/2022 2:45,,0
8/3/2022 3:00,0,0
8/3/2022 3:15,0,0
8/3/2022 3:30,0.2391,0
8/3/2022 3:45,,0
8/3/2022 4:00,0,0
8/3/2022 4:15,0,0
8/3/2022 4:30,0,0
8/3/2022 4:45,,0
8/3/2022 5:00,0,0
8/3/2022 5:15,0,0
8/3/2022 5:30,,0
8/3/2022 5:45,,0
8/3/2022 6:00,0.7174,0
8/3/2022 6:15,11.7565,0
8/3/2022 6:30,47.1446,217315
8/3/2022 6:45,109.4409,956340
8/3/2022 7:00,199.9455,1977090
8/3/2022 7:15,310.4416,3287796.667
8/3/2022 7:30,677.5403,7807000
8/3/2022 7:45,509.8163,5473210
8/3/2022 8:00,553.3027,5631463.333
8/3/2022 8:15,546.8687,4948943.333
8/3/2022 8:30,1097.9587,9246780
8/3/2022 8:45,1148.5933,13069400
8/3/2022 9:00,1262.8797,13915866.67
8/3/2022 9:15,1292.4683,14576200
8/3/2022 9:30,1498.0317,16673600
8/3/2022 9:45,1550.8137,17535233.33
8/3/2022 10:00,1807.364,20320300
8/3/2022 10:15,1792.7483,20114966.67
8/3/2022 10:30,1541.1463,19730266.67
8/3/2022 10:45,1751.1517,17449966.67
8/3/2022 11:00,2330.178,25517666.67
8/3/2022 11:15,2456.197,26654733.33
8/3/2022 11:30,2432.4323,25596800
8/3/2022 11:45,2358.8307,26650166.67
8/3/2022 12:00,2735.9193,28931200
8/3/2022 12:15,2828.614,29237866.67
8/3/2022 12:30,2903.4143,28880366.67
8/3/2022 12:45,2924.9783,29104433.33
8/3/2022 13:00,2964.817,29068033.33
8/3/2022 13:15,3007.6213,29160933.33
8/3/2022 13:30,3035.43,29151766.67
8/3/2022 13:45,3053.9267,29127033.33
8/3/2022 14:00,3056.99,29019566.67
8/3/2022 14:15,3052.58,28947866.67
8/3/2022 14:30,3038.38,28980033.33
8/3/2022 14:45,2940.1993,28888400
8/3/2022 15:00,2873.9503,28840666.67
8/3/2022 15:15,2828.185,28420633.33
8/3/2022 15:30,2287.2027,24713833.33
8/3/2022 15:45,2691.7473,28095266.67
8/3/2022 16:00,2670.119,27370900
8/3/2022 16:15,1785.3777,19420766.67
8/3/2022 16:30,1658.877,17746133.33
8/3/2022 16:45,1785.3837,20414966.67
8/3/2022 17:00,2034.5507,22236700
