Date (-05:00),Irradiance Reference (Link) (W/m²),Meter AC Power (W)
8/1/2022 0:05,,0
8/1/2022 0:10,,0
8/1/2022 0:15,,0
8/1/2022 0:20,,0
8/1/2022 0:25,,0
8/1/2022 0:30,,0
8/1/2022 0:35,,0
8/1/2022 0:40,,0
8/1/2022 0:45,,0
8/1/2022 0:50,0,0
8/1/2022 0:55,,0
8/1/2022 1:00,,0
8/1/2022 1:05,,0
8/1/2022 1:10,,0
8/1/2022 1:15,,0
8/1/2022 1:20,,0
8/1/2022 1:25,,0
8/1/2022 1:30,,0
8/1/2022 1:35,,0
8/1/2022 1:40,,0
8/1/2022 1:45,,0
8/1/2022 1:50,,0
8/1/2022 1:55,,0
8/1/2022 2:00,,0
8/1/2022 2:05,,0
8/1/2022 2:10,,0
8/1/2022 2:15,,0
8/1/2022 2:20,,0
8/1/2022 2:25,,0
8/1/2022 2:30,,0
8/1/2022 2:35,,0
8/1/2022 2:40,,0
8/1/2022 2:45,,0
8/1/2022 2:50,0,0
8/1/2022 2:55,,0
8/1/2022 3:00,,0
8/1/2022 3:05,,0
8/1/2022 3:10,,0
8/1/2022 3:15,,0
8/1/2022 3:20,,0
8/1/2022 3:25,,0
8/1/2022 3:30,,0
8/1/2022 3:35,,0
8/1/2022 3:40,,0
8/1/2022 3:45,,0
8/1/2022 3:50,0,0
8/1/2022 3:55,,0
8/1/2022 4:00,,0
8/1/2022 4:05,,0
8/1/2022 4:10,,0
8/1/2022 4:15,,0
8/1/2022 4:20,,0
8/1/2022 4:25,,0
8/1/2022 4:30,,0
8/1/2022 4:35,,0
8/1/2022 4:40,0,0
8/1/2022 4:45,,0
8/1/2022 4:50,,0
8/1/2022 4:55,0,0
8/1/2022 5:00,,0
8/1/2022 5:05,,0
8/1/2022 5:10,,0
8/1/2022 5:15,0,0
8/1/2022 5:20,,0
8/1/2022 5:25,,0
8/1/2022 5:30,,0
8/1/2022 5:35,,0
8/1/2022 5:40,,0
8/1/2022 5:45,,0
8/1/2022 5:50,0.2391,0
8/1/2022 5:55,0.9565,0
8/1/2022 6:00,1.913,0
8/1/2022 6:05,3.5136,0
8/1/2022 6:10,6.1909,0
8/1/2022 6:15,9.5601,0
8/1/2022 6:20,13.3273,161865
8/1/2022 6:25,17.5657,311490
8/1/2022 6:30,21.724,470940
8/1/2022 6:35,24.0786,563145
8/1/2022 6:40,24.9408,609465
8/1/2022 6:45,26.4319,676365
8/1/2022 6:50,30.6842,770580
8/1/2022 6:55,34.3051,896985
8/1/2022 7:00,38.5107,1013200
8/1/2022 7:05,40.518,1028940
8/1/2022 7:10,39.947,1030770
8/1/2022 7:15,40.3502,1055740
8/1/2022 7:20,49.6231,1285530
8/1/2022 7:25,50.0121,1260360
8/1/2022 7:30,59.108,1323510
8/1/2022 7:35,72.1052,1480960
8/1/2022 7:40,85.2721,1738410
8/1/2022 7:45,100.6561,2143560
8/1/2022 7:50,93.9589,2418810
8/1/2022 7:55,131.8617,3103540
8/1/2022 8:00,149.608,3680460
8/1/2022 8:05,172.0407,4338330
8/1/2022 8:10,194.2233,5287900
8/1/2022 8:15,198.2751,6266110
8/1/2022 8:20,258.7087,7538280
8/1/2022 8:25,303.811,9392550
8/1/2022 8:30,325.0527,10164100
8/1/2022 8:35,326.7323,10109700
8/1/2022 8:40,360.618,11372400
8/1/2022 8:45,362.963,11573500
8/1/2022 8:50,389.4583,11896300
8/1/2022 8:55,379.8993,12050000
8/1/2022 9:00,308.238,10027800
8/1/2022 9:05,436.496,12108200
8/1/2022 9:10,398.8797,12411700
8/1/2022 9:15,376.855,11397800
8/1/2022 9:20,278.8223,9593220
8/1/2022 9:25,430.4523,14354400
8/1/2022 9:30,500.0327,16397000
8/1/2022 9:35,235.268,10578600
8/1/2022 9:40,328.0207,10769700
8/1/2022 9:45,335.9707,15561300
8/1/2022 9:50,541.1507,19200800
8/1/2022 9:55,470.0397,18431400
8/1/2022 10:00,634.501,19870000
8/1/2022 10:05,725.8663,24079600
8/1/2022 10:10,638.897,19777800
8/1/2022 10:15,424.8293,20241800
8/1/2022 10:20,735.2763,23695200
8/1/2022 10:25,805.2733,23917700
8/1/2022 10:30,582.9893,17888000
8/1/2022 10:35,804.1403,27174900
8/1/2022 10:40,597.115,19223300
8/1/2022 10:45,872.4543,27780400
8/1/2022 10:50,648.9137,19507200
8/1/2022 10:55,875.1377,28236500
8/1/2022 11:00,884.545,28309700
8/1/2022 11:05,857.8943,27765300
8/1/2022 11:10,849.5907,27790100
8/1/2022 11:15,664.8847,24557100
8/1/2022 11:20,884.2237,28232300
8/1/2022 11:25,949.615,28512900
8/1/2022 11:30,339.5803,18098200
8/1/2022 11:35,835.1633,26336900
8/1/2022 11:40,829.0043,25794600
8/1/2022 11:45,771.5577,27513100
8/1/2022 11:50,828.9353,26476300
8/1/2022 11:55,499.9623,20860500
8/1/2022 12:00,302.1973,12016300
8/1/2022 12:05,330.1627,19399000
8/1/2022 12:10,393.4013,18315300
8/1/2022 12:15,730.902,26964000
8/1/2022 12:20,1001.6513,28809300
8/1/2022 12:25,857.287,27009000
8/1/2022 12:30,1029.3567,28804900
8/1/2022 12:35,1023.5733,28089800
8/1/2022 12:40,985.1673,28895500
8/1/2022 12:45,1039.4433,28801200
8/1/2022 12:50,1095.4533,28885600
8/1/2022 12:55,862.8647,28047600
8/1/2022 13:00,1064.4313,22710800
8/1/2022 13:05,362.8703,13912100
8/1/2022 13:10,723.121,22315400
8/1/2022 13:15,940.465,22507500
8/1/2022 13:20,293.084,11457100
8/1/2022 13:25,888.8157,25253200
8/1/2022 13:30,885.6297,19937300
8/1/2022 13:35,189.1063,5948850
8/1/2022 13:40,176.7413,5676000
8/1/2022 13:45,197.9713,6692470
8/1/2022 13:50,234.08,8023940
8/1/2022 13:55,242.5177,8080600
8/1/2022 14:00,189.1453,6507520
8/1/2022 14:05,185.0037,6532210
8/1/2022 14:10,155.9607,5499070
8/1/2022 14:15,130.8353,4617240
8/1/2022 14:20,108.2303,3776980
8/1/2022 14:25,101.5127,3547030
8/1/2022 14:30,107.7867,3812460
8/1/2022 14:35,100.8812,3563640
8/1/2022 14:40,93.3957,3227560
8/1/2022 14:45,83.3378,2922790
8/1/2022 14:50,86.8864,3093140
8/1/2022 14:55,90.4579,3173430
8/1/2022 15:00,64.646,2022970
8/1/2022 15:05,35.8004,842940
8/1/2022 15:10,30.8482,774885
8/1/2022 15:15,27.1903,701670
8/1/2022 15:20,68.3228,2005930
8/1/2022 15:25,75.9081,2529330
8/1/2022 15:30,75.2652,2607150
8/1/2022 15:35,91.8912,3294170
8/1/2022 15:40,134.4777,5005630
8/1/2022 15:45,148.3837,5532690
8/1/2022 15:50,151.3737,5656750
8/1/2022 15:55,157.642,5851740
8/1/2022 16:00,168.5487,6228540
8/1/2022 16:05,179.2033,6581340
8/1/2022 16:10,188.6043,6929280
8/1/2022 16:15,192.2257,7018920
8/1/2022 16:20,191.828,6953440
8/1/2022 16:25,187.1193,6732730
8/1/2022 16:30,189.4743,6792630
8/1/2022 16:35,187.6033,6689910
8/1/2022 16:40,185.7237,6608320
8/1/2022 16:45,189.6493,6760840
8/1/2022 16:50,188.304,6744710
8/1/2022 16:55,174.8847,6252030
8/1/2022 17:00,155.9123,5528080
8/1/2022 17:05,134.1143,4692690
8/1/2022 17:10,125.4993,4352650
8/1/2022 17:15,122.829,4253350
8/1/2022 17:20,119.2947,4124190
8/1/2022 17:25,117.962,4073230
8/1/2022 17:30,117.408,4045180
8/1/2022 17:35,116.3893,3994560
8/1/2022 17:40,114.9743,3917250
8/1/2022 17:45,109.954,3704670
8/1/2022 17:50,103.7603,3443530
8/1/2022 17:55,97.7187,3187050
8/1/2022 18:00,91.4419,2938480
8/1/2022 18:05,87.2874,2780150
8/1/2022 18:10,85.0031,2702590
8/1/2022 18:15,79.0446,2478900
8/1/2022 18:20,71.6448,2232280
8/1/2022 18:25,72.536,2233540
8/1/2022 18:30,68.5404,2084470
8/1/2022 18:35,64.3028,1919950
8/1/2022 18:40,59.2031,1733320
8/1/2022 18:45,53.795,1541640
8/1/2022 18:50,49.0104,1360740
8/1/2022 18:55,44.6999,1212600
8/1/2022 19:00,41.4837,1095970
8/1/2022 19:05,38.8179,991425
8/1/2022 19:10,34.5835,839700
8/1/2022 19:15,29.1721,650655
8/1/2022 19:20,23.2137,449820
8/1/2022 19:25,17.2519,253020
8/1/2022 19:30,10.196,34155
8/1/2022 19:35,4.3138,0
8/1/2022 19:40,1.6738,0
8/1/2022 19:45,0.9565,0
8/1/2022 19:50,0.2391,0
8/1/2022 19:55,0,0
8/1/2022 20:00,,0
8/1/2022 20:05,,0
8/1/2022 20:10,,0
8/1/2022 20:15,,0
8/1/2022 20:20,,0
8/1/2022 20:25,,0
8/1/2022 20:30,0.9146,0
8/1/2022 20:35,0.3479,0
8/1/2022 20:40,0,0
8/1/2022 20:45,,0
8/1/2022 20:50,,0
8/1/2022 20:55,0,0
8/1/2022 21:00,0,0
8/1/2022 21:05,0,0
8/1/2022 21:10,0,0
8/1/2022 21:15,,0
8/1/2022 21:20,,0
8/1/2022 21:25,,0
8/1/2022 21:30,,0
8/1/2022 21:35,,0
8/1/2022 21:40,,0
8/1/2022 21:45,,0
8/1/2022 21:50,,0
8/1/2022 21:55,,0
8/1/2022 22:00,0,0
8/1/2022 22:05,,0
8/1/2022 22:10,,0
8/1/2022 22:15,,0
8/1/2022 22:20,,0
8/1/2022 22:25,,0
8/1/2022 22:30,,0
8/1/2022 22:35,0,0
8/1/2022 22:40,,0
8/1/2022 22:45,0.2391,0
8/1/2022 22:50,0,0
8/1/2022 22:55,,0
8/1/2022 23:00,,0
8/1/2022 23:05,,0
8/1/2022 23:10,,0
8/1/2022 23:15,,0
8/1/2022 23:20,,0
8/1/2022 23:25,,0
8/1/2022 23:30,,0
8/1/2022 23:35,,0
8/1/2022 23:40,,0
8/1/2022 23:45,,0
8/1/2022 23:50,,0
8/1/2022 23:55,,0
8/2/2022 0:00,,0
8/2/2022 0:05,,0
8/2/2022 0:10,,0
8/2/2022 0:15,0,0
8/2/2022 0:20,,0
8/2/2022 0:25,0,0
8/2/2022 0:30,0,0
8/2/2022 0:35,0.2391,0
8/2/2022 0:40,,0
8/2/2022 0:45,,0
8/2/2022 0:50,,0
8/2/2022 0:55,,0
8/2/2022 1:00,0,0
8/2/2022 1:05,,0
8/2/2022 1:10,,0
8/2/2022 1:15,,0
8/2/2022 1:20,,0
8/2/2022 1:25,0,0
8/2/2022 1:30,,0
8/2/2022 1:35,,0
8/2/2022 1:40,0,0
8/2/2022 1:45,0,0
8/2/2022 1:50,0,0
8/2/2022 1:55,0.2391,0
8/2/2022 2:00,,0
8/2/2022 2:05,,0
8/2/2022 2:10,,0
8/2/2022 2:15,,0
8/2/2022 2:20,,0
8/2/2022 2:25,,0
8/2/2022 2:30,,0
8/2/2022 2:35,,0
8/2/2022 2:40,,0
8/2/2022 2:45,,0
8/2/2022 2:50,,0
8/2/2022 2:55,0,0
8/2/2022 3:00,,0
8/2/2022 3:05,,0
8/2/2022 3:10,,0
8/2/2022 3:15,,0
8/2/2022 3:20,,0
8/2/2022 3:25,,0
8/2/2022 3:30,,0
8/2/2022 3:35,,0
8/2/2022 3:40,0,0
8/2/2022 3:45,0,0
8/2/2022 3:50,,0
8/2/2022 3:55,0,0
8/2/2022 4:00,,0
8/2/2022 4:05,,0
8/2/2022 4:10,,0
8/2/2022 4:15,,0
8/2/2022 4:20,0,0
8/2/2022 4:25,,0
8/2/2022 4:30,,0
8/2/2022 4:35,0,0
8/2/2022 4:40,0,0
8/2/2022 4:45,,0
8/2/2022 4:50,,0
8/2/2022 4:55,,0
8/2/2022 5:00,,0
8/2/2022 5:05,,0
8/2/2022 5:10,,0
8/2/2022 5:15,,0
8/2/2022 5:20,,0
8/2/2022 5:25,,0
