Date (-05:00),INV 101 - (A),INV 102 - (A),INV 103 - (A),INV 104 - (A),INV 105 - (A),INV 106 - (A),INV 107 - (A),INV 201 - (A),INV 202 - (A),INV 203 - (A),INV 204 - (A),INV 205 - (A),INV 206 - (A),INV 207 - (A)
9/14/2022 0:05,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 0:10,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 0:15,-1,0,0,-1,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 0:20,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 0:25,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 0:30,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 0:35,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 0:40,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 0:45,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 0:50,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 0:55,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 1:00,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 1:05,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 1:10,-1,0,0,-1,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 1:15,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 1:20,-1,0,0,-1,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 1:25,-1,0,0,-1,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 1:30,-1,0,0,-1,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 1:35,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 1:40,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 1:45,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 1:50,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 1:55,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 2:00,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 2:05,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 2:10,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 2:15,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 2:20,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 2:25,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 2:30,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 2:35,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 2:40,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 2:45,-1,0,0,-1,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 2:50,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 2:55,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 3:00,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 3:05,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 3:10,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 3:15,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 3:20,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 3:25,-1,0,0,-1,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 3:30,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 3:35,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 3:40,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 3:45,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 3:50,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 3:55,-1,0,0,-1,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 4:00,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 4:05,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 4:10,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 4:15,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 4:20,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 4:25,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 4:30,-1,0,0,-1,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 4:35,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 4:40,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 4:45,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 4:50,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 4:55,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 5:00,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 5:05,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 5:10,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 5:15,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 5:20,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 5:25,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 5:30,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 5:35,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 5:40,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 5:45,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
9/14/2022 5:50,-1,0,0,0,-1,1,-1,0,0,-1,-1,0,-1,-1
