Date (-05:00),Meter AC Power (W),Irradiance Reference (Link) (W/m²)
8/25/2022 0:05,0,0
8/25/2022 0:10,0,0
8/25/2022 0:15,0,0
8/25/2022 0:20,0,0
8/25/2022 0:25,0,0
8/25/2022 0:30,0,
8/25/2022 0:35,0,0
8/25/2022 0:40,0,0
8/25/2022 0:45,0,0
8/25/2022 0:50,0,
8/25/2022 0:55,0,0
8/25/2022 1:00,0,0
8/25/2022 1:05,0,0
8/25/2022 1:10,0,0
8/25/2022 1:15,0,0.2287
8/25/2022 1:20,0,0
8/25/2022 1:25,0,0
8/25/2022 1:30,0,0
8/25/2022 1:35,0,0
8/25/2022 1:40,0,0
8/25/2022 1:45,0,0
8/25/2022 1:50,0,0
8/25/2022 1:55,0,0
8/25/2022 2:00,0,0
8/25/2022 2:05,0,0
8/25/2022 2:10,0,
8/25/2022 2:15,0,0
8/25/2022 2:20,0,0
8/25/2022 2:25,0,0
8/25/2022 2:30,0,0
8/25/2022 2:35,0,0
8/25/2022 2:40,0,0
8/25/2022 2:45,0,
8/25/2022 2:50,0,0
8/25/2022 2:55,0,0
8/25/2022 3:00,0,0
8/25/2022 3:05,0,0
8/25/2022 3:10,0,0
8/25/2022 3:15,0,0
8/25/2022 3:20,0,0
8/25/2022 3:25,0,
8/25/2022 3:30,0,
8/25/2022 3:35,0,0
8/25/2022 3:40,0,
8/25/2022 3:45,0,
8/25/2022 3:50,0,
8/25/2022 3:55,0,
8/25/2022 4:00,0,0
8/25/2022 4:05,0,
8/25/2022 4:10,0,0
8/25/2022 4:15,0,
8/25/2022 4:20,0,
8/25/2022 4:25,0,0
8/25/2022 4:30,0,
8/25/2022 4:35,0,
8/25/2022 4:40,0,
8/25/2022 4:45,0,0
8/25/2022 4:50,0,
8/25/2022 4:55,0,
8/25/2022 5:00,0,
8/25/2022 5:05,0,
8/25/2022 5:10,0,
8/25/2022 5:15,0,0
8/25/2022 5:20,0,
8/25/2022 5:25,0,
8/25/2022 5:30,0,0
8/25/2022 5:35,0,
8/25/2022 5:40,0,
8/25/2022 5:45,0,
8/25/2022 5:50,0,
8/25/2022 5:55,0,
8/25/2022 6:00,0,
8/25/2022 6:05,0,
8/25/2022 6:10,0,
8/25/2022 6:15,0,0.2391
8/25/2022 6:20,0,1.6215
8/25/2022 6:25,0,2.4995
8/25/2022 6:30,0,2.4997
8/25/2022 6:35,0,3.057
8/25/2022 6:40,0,4.4696
8/25/2022 6:45,0,4.6323
8/25/2022 6:50,0,4.0694
8/25/2022 6:55,0,4.2344
8/25/2022 7:00,0,4.3141
8/25/2022 7:05,0,2.8891
8/25/2022 7:10,0,3.1369
8/25/2022 7:15,0,4.2414
8/25/2022 7:20,0,6.4298
8/25/2022 7:25,0,8.6919
8/25/2022 7:30,118170,11.2249
8/25/2022 7:35,187545,13.4062
8/25/2022 7:40,214650,13.9603
8/25/2022 7:45,341640,17.4056
8/25/2022 7:50,767070,28.0439
8/25/2022 7:55,1419140,45.4588
8/25/2022 8:00,1902260,57.5224
8/25/2022 8:05,2254470,65.2556
8/25/2022 8:10,2469240,71.2934
8/25/2022 8:15,2462640,71.9655
8/25/2022 8:20,2592000,75.8751
8/25/2022 8:25,2783560,80.348
8/25/2022 8:30,2741590,79.2634
8/25/2022 8:35,2699900,78.1788
8/25/2022 8:40,2510640,73.7186
8/25/2022 8:45,2043910,61.8901
8/25/2022 8:50,1776330,54.9003
8/25/2022 8:55,1610860,50.1916
8/25/2022 9:00,1537860,47.3736
8/25/2022 9:05,1444810,45.2573
8/25/2022 9:10,1415040,44.787
8/25/2022 9:15,1451070,45.2706
8/25/2022 9:20,1470450,44.6947
8/25/2022 9:25,1733400,51.8494
8/25/2022 9:30,2258980,62.6167
8/25/2022 9:35,2717760,75.3566
8/25/2022 9:40,2800230,78.1918
8/25/2022 9:45,2595330,73.7487
8/25/2022 9:50,2531190,71.5403
8/25/2022 9:55,2620720,73.7009
8/25/2022 10:00,2530210,69.441
8/25/2022 10:05,2583700,72.7864
8/25/2022 10:10,2569640,69.237
8/25/2022 10:15,2650360,73.0025
8/25/2022 10:20,2686510,74.1915
8/25/2022 10:25,2784440,76.8633
8/25/2022 10:30,2923860,80.3979
8/25/2022 10:35,3078890,82.2393
8/25/2022 10:40,3098150,84.3903
8/25/2022 10:45,3061990,83.2894
8/25/2022 10:50,3074590,83.6039
8/25/2022 10:55,2966470,81.4915
8/25/2022 11:00,2843370,78.1894
8/25/2022 11:05,2639200,73.6467
8/25/2022 11:10,2394750,67.3005
