Date (-05:00),Irradiance Reference (Link) (W/m²),Meter AC Power (W)
9/6/2022 0:05,,0
9/6/2022 0:10,,0
9/6/2022 0:15,0,0
9/6/2022 0:20,,0
9/6/2022 0:25,,0
9/6/2022 0:30,,0
9/6/2022 0:35,,0
9/6/2022 0:40,,0
9/6/2022 0:45,,0
9/6/2022 0:50,,0
9/6/2022 0:55,,0
9/6/2022 1:00,,0
9/6/2022 1:05,,0
9/6/2022 1:10,,0
9/6/2022 1:15,,0
9/6/2022 1:20,,0
9/6/2022 1:25,,0
9/6/2022 1:30,,0
9/6/2022 1:35,,0
9/6/2022 1:40,,0
9/6/2022 1:45,,0
9/6/2022 1:50,,0
9/6/2022 1:55,,0
9/6/2022 2:00,,0
9/6/2022 2:05,,0
9/6/2022 2:10,,0
9/6/2022 2:15,,0
9/6/2022 2:20,,0
9/6/2022 2:25,,0
9/6/2022 2:30,,0
9/6/2022 2:35,,0
9/6/2022 2:40,,0
9/6/2022 2:45,,0
9/6/2022 2:50,,0
9/6/2022 2:55,,0
9/6/2022 3:00,,0
9/6/2022 3:05,,0
9/6/2022 3:10,,0
9/6/2022 3:15,,0
9/6/2022 3:20,,0
9/6/2022 3:25,,0
9/6/2022 3:30,,0
9/6/2022 3:35,,0
9/6/2022 3:40,,0
9/6/2022 3:45,,0
9/6/2022 3:50,0,0
9/6/2022 3:55,,0
9/6/2022 4:00,,0
9/6/2022 4:05,,0
9/6/2022 4:10,,0
9/6/2022 4:15,,0
9/6/2022 4:20,,0
9/6/2022 4:25,,0
9/6/2022 4:30,,0
9/6/2022 4:35,,0
9/6/2022 4:40,0,0
9/6/2022 4:45,,0
9/6/2022 4:50,,0
9/6/2022 4:55,,0
9/6/2022 5:00,,0
9/6/2022 5:05,,0
9/6/2022 5:10,,0
9/6/2022 5:15,,0
9/6/2022 5:20,,0
9/6/2022 5:25,,0
9/6/2022 5:30,,0
9/6/2022 5:35,,0
9/6/2022 5:40,,0
9/6/2022 5:45,,0
9/6/2022 5:50,,0
9/6/2022 5:55,,0
9/6/2022 6:00,,0
9/6/2022 6:05,,0
9/6/2022 6:10,,0
9/6/2022 6:15,0.2392,0
9/6/2022 6:20,1.1958,0
9/6/2022 6:25,1.7832,0
9/6/2022 6:30,5.257,0
9/6/2022 6:35,9.3291,0
9/6/2022 6:40,13.4881,159855
9/6/2022 6:45,16.3898,266490
9/6/2022 6:50,21.9652,452115
9/6/2022 6:55,25.3345,584880
9/6/2022 7:00,27.3377,705780
9/6/2022 7:05,30.43,809205
9/6/2022 7:10,33.8246,863205
9/6/2022 7:15,36.9486,939900
9/6/2022 7:20,41.18,1063840
9/6/2022 7:25,46.8673,1196390
9/6/2022 7:30,50.7963,1268390
9/6/2022 7:35,62.3788,1443900
9/6/2022 7:40,79.5583,1735570
9/6/2022 7:45,93.9836,2337760
9/6/2022 7:50,94.4295,2757660
9/6/2022 7:55,64.7252,1830380
9/6/2022 8:00,72.3004,2261710
9/6/2022 8:05,129.6223,3118400
9/6/2022 8:10,175.014,4741210
9/6/2022 8:15,222.384,5914020
9/6/2022 8:20,198.2103,4918290
9/6/2022 8:25,233.553,6451440
9/6/2022 8:30,230.5307,6957130
9/6/2022 8:35,250.7227,7790350
9/6/2022 8:40,268.704,8610040
9/6/2022 8:45,287.9097,9421140
9/6/2022 8:50,315.7973,10206100
9/6/2022 8:55,334.136,10945800
9/6/2022 9:00,354.2987,11699200
9/6/2022 9:05,374.836,12426400
9/6/2022 9:10,395.725,13226100
9/6/2022 9:15,416.5537,13990500
9/6/2022 9:20,435.4947,14711400
9/6/2022 9:25,451.392,15183600
9/6/2022 9:30,492.861,16089300
9/6/2022 9:35,333.628,11084300
9/6/2022 9:40,280.5563,11398900
9/6/2022 9:45,556.3113,19021100
9/6/2022 9:50,420.992,17458600
9/6/2022 9:55,531.712,14739300
9/6/2022 10:00,299.3567,12000900
9/6/2022 10:05,223.1897,7940160
9/6/2022 10:10,428.4487,16007500
9/6/2022 10:15,711.0343,18955900
9/6/2022 10:20,384.3087,11271100
9/6/2022 10:25,321.922,16942000
9/6/2022 10:30,532.779,23748600
9/6/2022 10:35,304.8893,9830850
9/6/2022 10:40,613.7467,17940400
9/6/2022 10:45,727.246,24797800
9/6/2022 10:50,720.8653,26094400
9/6/2022 10:55,555.8353,21013200
9/6/2022 11:00,188.34,6026440
9/6/2022 11:05,229.78,10617500
9/6/2022 11:10,256.5867,15525100
9/6/2022 11:15,666.9053,20865500
9/6/2022 11:20,433.823,11300700
9/6/2022 11:25,346.7267,11450800
9/6/2022 11:30,744.5037,25254100
9/6/2022 11:35,596.0847,19769600
9/6/2022 11:40,995.0613,29866300
9/6/2022 11:45,1003.5553,29979200
9/6/2022 11:50,1092.8233,29729800
9/6/2022 11:55,502.128,15673800
9/6/2022 12:00,268.4163,9336510
9/6/2022 12:05,241.8487,8056670
9/6/2022 12:10,372.0017,15307200
9/6/2022 12:15,556.5603,19939700
9/6/2022 12:20,357.47,12383400
9/6/2022 12:25,419.898,15341100
9/6/2022 12:30,328.6717,11739500
9/6/2022 12:35,693.0523,26360500
9/6/2022 12:40,436.784,15610900
9/6/2022 12:45,344.5393,11791300
9/6/2022 12:50,231.5263,7755030
9/6/2022 12:55,339.7363,12712500
9/6/2022 13:00,466.745,13473400
9/6/2022 13:05,496.04,19991900
9/6/2022 13:10,303.117,10187700
9/6/2022 13:15,262.5807,8920290
9/6/2022 13:20,231.078,7992480
9/6/2022 13:25,206.4183,7223830
9/6/2022 13:30,262.274,9284080
9/6/2022 13:35,236.4473,8461880
9/6/2022 13:40,222.3647,7661460
9/6/2022 13:45,292.694,10352700
9/6/2022 13:50,400.8297,14106800
9/6/2022 13:55,546.912,18344400
9/6/2022 14:00,470.4747,17737500
9/6/2022 14:05,712.7053,27291400
9/6/2022 14:10,971.4797,28258900
9/6/2022 14:15,802.6563,25672300
9/6/2022 14:20,849.6893,24166200
9/6/2022 14:25,786.6337,20752100
9/6/2022 14:30,434.5877,17279600
9/6/2022 14:35,509.8857,18363800
9/6/2022 14:40,773.5637,26611000
9/6/2022 14:45,1074.99,28738600
9/6/2022 14:50,1048.53,29844400
9/6/2022 14:55,294.3807,12430800
9/6/2022 15:00,344.7287,10522900
9/6/2022 15:05,244.7353,7974690
9/6/2022 15:10,531.3757,10905100
9/6/2022 15:15,230.427,7746210
9/6/2022 15:20,264.2077,9397480
9/6/2022 15:25,278.2673,9634020
9/6/2022 15:30,283.081,10642400
9/6/2022 15:35,534.5127,17408100
9/6/2022 15:40,570.6127,18397000
9/6/2022 15:45,553.8133,18936800
9/6/2022 15:50,238.4363,7952790
9/6/2022 15:55,197.888,6538360
9/6/2022 16:00,443.8903,14987600
9/6/2022 16:05,365.1177,11471400
9/6/2022 16:10,287.47,9930090
9/6/2022 16:15,271.4307,9509940
9/6/2022 16:20,412.1413,14138500
9/6/2022 16:25,628.0793,21178500
9/6/2022 16:30,410.79,12168400
9/6/2022 16:35,594.485,16562900
9/6/2022 16:40,336.509,12971000
9/6/2022 16:45,394.5083,9900040
9/6/2022 16:50,194.9037,6176320
9/6/2022 16:55,174.746,5838920
9/6/2022 17:00,182.6707,5842460
9/6/2022 17:05,147.9213,4698580
9/6/2022 17:10,201.583,5286660
9/6/2022 17:15,234.207,8515770
9/6/2022 17:20,194.3777,6941790
9/6/2022 17:25,416.4893,14275600
9/6/2022 17:30,154.6143,5335530
9/6/2022 17:35,116.2087,3556230
9/6/2022 17:40,95.5901,2892760
9/6/2022 17:45,82.0037,2436150
9/6/2022 17:50,79.1932,2272330
9/6/2022 17:55,173.331,5346030
9/6/2022 18:00,148.0767,4736420
9/6/2022 18:05,92.9885,2754060
9/6/2022 18:10,83.4387,2436390
9/6/2022 18:15,75.2059,2191700
9/6/2022 18:20,70.4215,2029520
9/6/2022 18:25,63.9126,1796400
9/6/2022 18:30,54.6649,1463970
9/6/2022 18:35,46.0378,1167550
9/6/2022 18:40,37.3309,878820
9/6/2022 18:45,28.4684,594810
9/6/2022 18:50,19.5295,303195
9/6/2022 18:55,11.6846,47835
9/6/2022 19:00,4.9111,0
9/6/2022 19:05,4.0649,0
9/6/2022 19:10,0.9565,0
9/6/2022 19:15,0.2391,0
9/6/2022 19:20,,0
9/6/2022 19:25,,0
9/6/2022 19:30,,0
9/6/2022 19:35,,0
9/6/2022 19:40,,0
9/6/2022 19:45,,0
9/6/2022 19:50,0.6959,0
9/6/2022 19:55,0.3479,0
9/6/2022 20:00,0.1144,0
9/6/2022 20:05,0,0
9/6/2022 20:10,0,0
9/6/2022 20:15,0,0
9/6/2022 20:20,0,0
9/6/2022 20:25,,0
9/6/2022 20:30,,0
9/6/2022 20:35,,0
9/6/2022 20:40,0,0
9/6/2022 20:45,0,0
9/6/2022 20:50,0,0
9/6/2022 20:55,0,0
9/6/2022 21:00,0,0
9/6/2022 21:05,0,0
9/6/2022 21:10,0,0
9/6/2022 21:15,0,0
9/6/2022 21:20,,0
9/6/2022 21:25,,0
9/6/2022 21:30,0,0
9/6/2022 21:35,,0
9/6/2022 21:40,0,0
9/6/2022 21:45,0,0
9/6/2022 21:50,,0
9/6/2022 21:55,0,0
9/6/2022 22:00,0,0
9/6/2022 22:05,,0
9/6/2022 22:10,0,0
9/6/2022 22:15,,0
9/6/2022 22:20,0,0
9/6/2022 22:25,,0
9/6/2022 22:30,,0
9/6/2022 22:35,,0
9/6/2022 22:40,,0
9/6/2022 22:45,,0
9/6/2022 22:50,,0
9/6/2022 22:55,,0
9/6/2022 23:00,,0
9/6/2022 23:05,,0
9/6/2022 23:10,,0
9/6/2022 23:15,,0
9/6/2022 23:20,,0
9/6/2022 23:25,,0
9/6/2022 23:30,,0
9/6/2022 23:35,,0
9/6/2022 23:40,,0
9/6/2022 23:45,,0
9/6/2022 23:50,,0
9/6/2022 23:55,,0
9/7/2022 0:00,,0
