,Sum_of_CBX,DC_Rating,String_count,Relative_DC,Sum_of_CBX/Relative_DC,Sum/Top_performer,Estimated_Downstrings
2096.05.005.BLK01.PAD01.INV01.CMB01,6756.997776703632,172.5,100,0.9090909090909091,7432.697554373995,0.782608695652174,21.739130434782606
2096.05.005.BLK01.PAD01.INV01.CMB02,6186.57614974761,172.5,100,0.9090909090909091,6805.233764722371,0.7165413473717035,28.34586526282965
2096.05.005.BLK01.PAD01.INV01.CMB03,6286.297156405178,172.5,100,0.9090909090909091,6914.926872045696,0.7280912293649271,27.19087706350729
2096.05.005.BLK01.PAD01.INV01.CMB04,6930.735929948078,172.5,100,0.9090909090909091,7623.809522942885,0.8027313883019243,19.726861169807574
2096.05.005.BLK01.PAD01.INV01.CMB05,6943.674821838339,172.5,100,0.9090909090909091,7638.042304022173,0.804229996062361,19.5770003937639
2096.05.005.BLK01.PAD01.INV01.CMB06,7008.780123707503,172.5,100,0.9090909090909091,7709.658136078253,0.8117706194367739,18.822938056322613
2096.05.005.BLK01.PAD01.INV01.CMB07,5649.69289039748,138.0,80,0.7272727272727273,7768.327724296535,0.8179480980135713,14.564152158914299
2096.05.005.BLK01.PAD01.INV01.CMB08,6352.44429179066,172.5,100,0.9090909090909091,6987.688720969726,0.7357525199344815,26.424748006551845
2096.05.005.BLK01.PAD01.INV01.CMB09,4918.444503532083,138.0,80,0.7272727272727273,6762.861192356614,0.7120798253807976,23.03361396953619
2096.05.005.BLK01.PAD01.INV01.CMB10,6405.403683488762,172.5,100,0.9090909090909091,7045.944051837639,0.741886380241833,25.811361975816705
2096.05.005.BLK01.PAD01.INV01.CMB11,6795.72843695278,172.5,100,0.9090909090909091,7475.301280648058,0.7870945564591492,21.290544354085085
2096.05.005.BLK01.PAD01.INV01.CMB12,5581.908382300392,138.0,80,0.7272727272727273,7675.124025663039,0.8081344301649994,15.349245586800047
2096.05.005.BLK01.PAD01.INV01.CMB13,6523.214992390119,172.5,100,0.9090909090909091,7175.536491629131,0.7555315164161038,24.446848358389616
2096.05.005.BLK01.PAD01.INV01.CMB14,6218.247039495179,172.5,100,0.9090909090909091,6840.071743444697,0.7202095317539663,27.979046824603373
2096.05.005.BLK01.PAD01.INV01.CMB15,5376.391274087204,138.0,80,0.7272727272727273,7392.538001869905,0.7783801884684388,17.729584922524893
2096.05.005.BLK01.PAD01.INV01.CMB16,6615.297030769509,172.5,100,0.9090909090909091,7276.826733846459,0.7661966381655212,23.38033618344788
2096.05.005.BLK01.PAD01.INV01.CMB17,5066.6066289088585,138.0,80,0.7272727272727273,6966.58411474968,0.7335303592417727,21.317571260658184
2096.05.005.BLK01.PAD01.INV01.CMB18,5135.69028923228,138.0,80,0.7272727272727273,7061.574147694384,0.7435321150294899,20.517430797640806
