,Sum_of_CBX,DC_Rating,String_count,Relative_DC,Sum_of_CBX/Relative_DC,Sum/Top_performer,Estimated_Downstrings
Recombiner 206 - Current_String_14 (A),732.9,118.125,70,0.622529644,1177.293333,1,0
Recombiner 207 - Current_String_5 (A),998.1,168.75,100,0.889328063,1122.308,1,0
Recombiner 207 - Current_String_6 (A),987.1,168.75,100,0.889328063,1109.939111,1,0
Recombiner 104 - Current_String_9 (A),1005.1,172.5,100,0.909090909,1105.61,0.996099686,0.39
Recombiner 205 - Current_String_14 (A),980.5,168.75,100,0.889328063,1102.517778,0.993313747,0.67
Recombiner 101 - Current_String_6 (A),1001,172.5,100,0.909090909,1101.1,0.9920364,0.8
Recombiner 207 - Current_String_2 (A),975.7,168.75,100,0.889328063,1097.120444,0.988451018,1.15
Recombiner 104 - Current_String_18 (A),996.2,172.5,100,0.909090909,1095.82,0.987279382,1.27
Recombiner 204 - Current_String_3 (A),973.3,168.75,100,0.889328063,1094.421778,0.986019654,1.4
Recombiner 207 - Current_String_1 (A),777.5,135,80,0.711462451,1092.819444,0.984576031,1.23
Recombiner 106 - Current_String_12 (A),968.1,168.75,100,0.889328063,1088.574667,0.980751697,1.92
Recombiner 207 - Current_String_13 (A),962.4,168.75,100,0.889328063,1082.165333,0.974977206,2.5
Recombiner 204 - Current_String_4 (A),961.8,168.75,100,0.889328063,1081.490667,0.974369365,2.56
Recombiner 205 - Current_String_5 (A),959.3,168.75,100,0.889328063,1078.679556,0.971836693,2.82
Recombiner 204 - Current_String_16 (A),957.7,168.75,100,0.889328063,1076.880444,0.970215784,2.98
Recombiner 101 - Current_String_7 (A),782.3,138,80,0.727272727,1075.6625,0.969118476,2.47
Recombiner 205 - Current_String_11 (A),954.8,168.75,100,0.889328063,1073.619556,0.967277885,3.27
Recombiner 106 - Current_String_14 (A),954.1,168.75,100,0.889328063,1072.832444,0.966568737,3.34
Recombiner 207 - Current_String_15 (A),952.5,168.75,100,0.889328063,1071.033333,0.964947827,3.51
Recombiner 204 - Current_String_15 (A),952.1,168.75,100,0.889328063,1070.583556,0.9645426,3.55
Recombiner 203 - Current_String_3 (A),761.1,135,80,0.711462451,1069.768333,0.963808125,2.9
Recombiner 205 - Current_String_1 (A),760.7,135,80,0.711462451,1069.206111,0.963301591,2.94
Recombiner 206 - Current_String_6 (A),760.7,135,80,0.711462451,1069.206111,0.963301591,2.94
Recombiner 207 - Current_String_18 (A),760.5,135,80,0.711462451,1068.925,0.963048323,2.96
Recombiner 205 - Current_String_12 (A),950.4,168.75,100,0.889328063,1068.672,0.962820383,3.72
Recombiner 203 - Current_String_16 (A),949.3,168.75,100,0.889328063,1067.435111,0.961706007,3.83
Recombiner 203 - Current_String_17 (A),947.8,168.75,100,0.889328063,1065.748444,0.960186405,3.98
Recombiner 206 - Current_String_19 (A),947.4,168.75,100,0.889328063,1065.298667,0.959781177,4.02
Recombiner 205 - Current_String_4 (A),947.3,168.75,100,0.889328063,1065.186222,0.95967987,4.03
Recombiner 207 - Current_String_11 (A),757.8,135,80,0.711462451,1065.13,0.959629217,3.23
Recombiner 103 - Current_String_11 (A),965.7,172.5,100,0.909090909,1062.27,0.957052499,4.29
Recombiner 103 - Current_String_8 (A),965.2,172.5,100,0.909090909,1061.72,0.956556976,4.34
Recombiner 206 - Current_String_21 (A),755.3,135,80,0.711462451,1061.616111,0.956463378,3.48
Recombiner 206 - Current_String_3 (A),942.9,168.75,100,0.889328063,1060.238667,0.955222369,4.48
Recombiner 206 - Current_String_4 (A),942.6,168.75,100,0.889328063,1059.901333,0.954918448,4.51
Recombiner 106 - Current_String_6 (A),941.5,168.75,100,0.889328063,1058.664444,0.953804073,4.62
Recombiner 203 - Current_String_20 (A),753.2,135,80,0.711462451,1058.664444,0.953804073,3.7
Recombiner 205 - Current_String_18 (A),940.3,168.75,100,0.889328063,1057.315111,0.95258839,4.74
Recombiner 207 - Current_String_3 (A),939.3,168.75,100,0.889328063,1056.190667,0.951575322,4.84
Recombiner 205 - Current_String_15 (A),939.1,168.75,100,0.889328063,1055.965778,0.951372708,4.86
Recombiner 204 - Current_String_13 (A),938.5,168.75,100,0.889328063,1055.291111,0.950764867,4.92
Recombiner 204 - Current_String_2 (A),938.3,168.75,100,0.889328063,1055.066222,0.950562253,4.94
Recombiner 103 - Current_String_5 (A),767.2,138,80,0.727272727,1054.9,0.950412495,3.97
Recombiner 206 - Current_String_9 (A),938.1,168.75,100,0.889328063,1054.841333,0.950359639,4.96
Recombiner 205 - Current_String_2 (A),750.4,135,80,0.711462451,1054.728889,0.950258332,3.98
Recombiner 207 - Current_String_17 (A),749.6,135,80,0.711462451,1053.604444,0.949245264,4.06
Recombiner 105 - Current_String_12 (A),957.8,172.5,100,0.909090909,1053.58,0.949223241,5.08
Recombiner 206 - Current_String_18 (A),936.6,168.75,100,0.889328063,1053.154667,0.948840036,5.12
Recombiner 103 - Current_String_1 (A),765.7,138,80,0.727272727,1052.8375,0.948554285,4.12
Recombiner 103 - Current_String_6 (A),765.5,138,80,0.727272727,1052.5625,0.948306524,4.14
Recombiner 101 - Current_String_4 (A),956.7,172.5,100,0.909090909,1052.37,0.948133091,5.19
Recombiner 207 - Current_String_8 (A),935.7,168.75,100,0.889328063,1052.142667,0.947928275,5.21
Recombiner 103 - Current_String_4 (A),956.2,172.5,100,0.909090909,1051.82,0.947637568,5.24
