,Sum_of_CBX,DC_Rating,String_count,Relative_DC,Sum_of_CBX/Relative_DC,Sum/Top_performer,Estimated_Downstrings,,,BLK1 CMB/INV,BLK2 CMB/INV,,String Count,DC Rating,String Count AVG:
Recombiner 203 - Current_String_17 (A),9962.8,168.75,100,0.889328063,11202.61511,1,0,,INV1,0.943749135,0.944177527,,110,189.1,9448.8
Recombiner 101 - Current_String_11 (A),9138.7,138,80,0.727272727,12565.7125,1,0,,INV2,0.944608232,0.947216133,,105,181.125,9648.9
Recombiner 104 - Current_String_3 (A),9207.5,138,80,0.727272727,12660.3125,1,0,,INV3,0.94396164,0.945260325,,100,172.5,8925.961538
Recombiner 203 - Current_String_19 (A),7946.9,135,80,0.711462451,11169.80944,0.997071606,0.23,,INV4,0.942493251,0.958569655,,100,168.75,8812.680612
Recombiner 203 - Current_String_20 (A),7919.5,135,80,0.711462451,11131.29722,0.993633818,0.51,,INV5,0.947135735,0.955987691,,90,155.25,7845.75
Recombiner 203 - Current_String_9 (A),9795.9,168.75,100,0.889328063,11014.94533,0.983247681,1.68,,INV6,0.946796205,0.953616431,,90,151.75,7560.5
Recombiner 203 - Current_String_16 (A),9626.2,168.75,100,0.889328063,10824.12711,0.966214317,3.38,,INV7,0.944944719,0.957610134,,80,138,6822.485714
Recombiner 206 - Current_String_21 (A),7593.7,135,80,0.711462451,10673.36722,0.952756755,3.78,,,,,,80,135,6874.42381
Recombiner 201 - Current_String_12 (A),9452.7,168.75,100,0.889328063,10629.036,0.948799534,5.12,,,,,,70,120.75,5560.5
Recombiner 201 - Current_String_18 (A),9421.5,168.75,100,0.889328063,10593.95333,0.945667885,5.43,,,,,,70,118.125,6399
Recombiner 201 - Current_String_8 (A),7703.7,138,80,0.727272727,10592.5875,0.945545964,4.36,,,,,,60,103.5,5750.7
Recombiner 201 - Current_String_3 (A),7527.1,135,80,0.711462451,10579.75722,0.94440067,4.45,,,,,,60,101.25,5475.3
Recombiner 206 - Current_String_6 (A),7526.6,135,80,0.711462451,10579.05444,0.944337937,4.45,,,,,,,,
Recombiner 206 - Current_String_19 (A),9388.7,168.75,100,0.889328063,10557.07156,0.942375637,5.76,,,,,,,,
Recombiner 202 - Current_String_14 (A),9588.2,172.5,100,0.909090909,10547.02,0.941478387,5.85,,,,,,,,
Recombiner 201 - Current_String_4 (A),5750.7,103.5,60,0.545454545,10542.95,0.941115079,3.53,,,,,,,,
Recombiner 204 - Current_String_4 (A),9356.8,168.75,100,0.889328063,10521.20178,0.939173726,6.08,,,,,,,,
Recombiner 203 - Current_String_10 (A),9354,168.75,100,0.889328063,10518.05333,0.938892681,6.11,,,,,,,,
Recombiner 206 - Current_String_4 (A),9352.5,168.75,100,0.889328063,10516.36667,0.938742121,6.13,,,,,,,,
Recombiner 106 - Current_String_8 (A),9350.8,168.75,100,0.889328063,10514.45511,0.938571486,6.14,,,,,,,,
Recombiner 103 - Current_String_8 (A),9556,172.5,100,0.909090909,10511.6,0.938316625,6.17,,,,,,,,
Recombiner 106 - Current_String_6 (A),9347.6,168.75,100,0.889328063,10510.85689,0.938250291,6.17,,,,,,,,
Recombiner 202 - Current_String_8 (A),9538,172.5,100,0.909090909,10491.8,0.93654918,6.35,,,,,,,,
Recombiner 204 - Current_String_6 (A),9325.5,168.75,100,0.889328063,10486.00667,0.936032039,6.4,,,,,,,,
Recombiner 203 - Current_String_12 (A),7457.5,135,80,0.711462451,10481.93056,0.935668186,5.15,,,,,,,,
Recombiner 206 - Current_String_3 (A),9300.3,168.75,100,0.889328063,10457.67067,0.93350263,6.65,,,,,,,,
Recombiner 107 - Current_String_17 (A),9285.6,168.75,100,0.889328063,10441.14133,0.932027141,6.8,,,,,,,,
Recombiner 204 - Current_String_3 (A),9280.9,168.75,100,0.889328063,10435.85644,0.931555386,6.84,,,,,,,,
Recombiner 206 - Current_String_11 (A),7415.7,135,80,0.711462451,10423.17833,0.930423676,5.57,,,,,,,,
Recombiner 206 - Current_String_5 (A),7409.8,135,80,0.711462451,10414.88556,0.929683422,5.63,,,,,,,,
Recombiner 202 - Current_String_9 (A),9466.7,172.5,100,0.909090909,10413.37,0.929548136,7.05,,,,,,,,
Recombiner 203 - Current_String_14 (A),7407.2,135,80,0.711462451,10411.23111,0.929357209,5.65,,,,,,,,
Recombiner 206 - Current_String_2 (A),5553.7,101.25,60,0.533596838,10408.04519,0.929072818,4.26,,,,,,,,
Recombiner 106 - Current_String_12 (A),9252.8,168.75,100,0.889328063,10404.25956,0.928734894,7.13,,,,,,,,
Recombiner 107 - Current_String_1 (A),9252.4,168.75,100,0.889328063,10403.80978,0.928694744,7.13,,,,,,,,
Recombiner 101 - Current_String_6 (A),9454.8,172.5,100,0.909090909,10400.28,0.928379659,7.16,,,,,,,,
Recombiner 106 - Current_String_4 (A),9239.4,168.75,100,0.889328063,10389.192,0.92738989,7.26,,,,,,,,
Recombiner 201 - Current_String_7 (A),9444,172.5,100,0.909090909,10388.4,0.927319193,7.27,,,,,,,,
Recombiner 101 - Current_String_7 (A),7549.9,138,80,0.727272727,10381.1125,0.926668675,5.87,,,,,,,,
Recombiner 205 - Current_String_14 (A),9232.2,168.75,100,0.889328063,10381.096,0.926667202,7.33,,,,,,,,
Recombiner 103 - Current_String_15 (A),9430.5,172.5,100,0.909090909,10373.55,0.925993609,7.4,,,,,,,,
Recombiner 101 - Current_String_5 (A),9413.7,172.5,100,0.909090909,10355.07,0.924343994,7.57,,,,,,,,
Recombiner 106 - Current_String_5 (A),9208.1,168.75,100,0.889328063,10353.99689,0.924248203,7.58,,,,,,,,
Recombiner 107 - Current_String_19 (A),9207.8,168.75,100,0.889328063,10353.65956,0.924218091,7.58,,,,,,,,
Recombiner 103 - Current_String_1 (A),7524.7,138,80,0.727272727,10346.4625,0.923575647,6.11,,,,,,,,
Recombiner 102 - Current_String_17 (A),7521.3,138,80,0.727272727,10341.7875,0.923158334,6.15,,,,,,,,
Recombiner 103 - Current_String_12 (A),7515.1,138,80,0.727272727,10333.2625,0.922397351,6.21,,,,,,,,
Recombiner 107 - Current_String_2 (A),9184.2,168.75,100,0.889328063,10327.12267,0.921849279,7.82,,,,,,,,
Recombiner 202 - Current_String_6 (A),9383.2,172.5,100,0.909090909,10321.52,0.921349158,7.87,,,,,,,,
Recombiner 102 - Current_String_3 (A),9377.8,172.5,100,0.909090909,10315.58,0.920818925,7.92,,,,,,,,
Recombiner 204 - Current_String_5 (A),9172.6,168.75,100,0.889328063,10314.07911,0.920684948,7.93,,,,,,,,
Recombiner 103 - Current_String_5 (A),7500,138,80,0.727272727,10312.5,0.920543989,6.36,,,,,,,,
Recombiner 207 - Current_String_5 (A),9167.7,168.75,100,0.889328063,10308.56933,0.920193118,7.98,,,,,,,,
Recombiner 106 - Current_String_16 (A),9165,168.75,100,0.889328063,10305.53333,0.91992211,8.01,,,,,,,,
Recombiner 101 - Current_String_4 (A),9367.4,172.5,100,0.909090909,10304.14,0.919797735,8.02,,,,,,,,
Recombiner 107 - Current_String_18 (A),9163.1,168.75,100,0.889328063,10303.39689,0.919731401,8.03,,,,,,,,
Recombiner 102 - Current_String_1 (A),9364.8,172.5,100,0.909090909,10301.28,0.919542437,8.05,,,,,,,,
Recombiner 207 - Current_String_6 (A),9161,168.75,100,0.889328063,10301.03556,0.919520617,8.05,,,,,,,,
Recombiner 105 - Current_String_12 (A),9362.9,172.5,100,0.909090909,10299.19,0.919355873,8.06,,,,,,,,
Recombiner 102 - Current_String_7 (A),9362,172.5,100,0.909090909,10298.2,0.919267501,8.07,,,,,,,,
Recombiner 103 - Current_String_4 (A),9361,172.5,100,0.909090909,10297.1,0.91916931,8.08,,,,,,,,
Recombiner 103 - Current_String_2 (A),7479.4,138,80,0.727272727,10284.175,0.918015561,6.56,,,,,,,,
Recombiner 104 - Current_String_9 (A),9346.7,172.5,100,0.909090909,10281.37,0.917765173,8.22,,,,,,,,
Recombiner 206 - Current_String_14 (A),6399,118.125,70,0.622529644,10279.02857,0.917556166,5.77,,,,,,,,
Recombiner 103 - Current_String_16 (A),9342.6,172.5,100,0.909090909,10276.86,0.917362589,8.26,,,,,,,,
Recombiner 104 - Current_String_8 (A),7470.8,138,80,0.727272727,10272.35,0.916960004,6.64,,,,,,,,
Recombiner 204 - Current_String_16 (A),9133.8,168.75,100,0.889328063,10270.45067,0.916790461,8.32,,,,,,,,
Recombiner 206 - Current_String_9 (A),9131.2,168.75,100,0.889328063,10267.52711,0.91652949,8.35,,,,,,,,
Recombiner 106 - Current_String_1 (A),9128.3,168.75,100,0.889328063,10264.26622,0.916238407,8.38,,,,,,,,
Recombiner 102 - Current_String_2 (A),9329.5,172.5,100,0.909090909,10262.45,0.916076282,8.39,,,,,,,,
Recombiner 103 - Current_String_6 (A),7461.5,138,80,0.727272727,10259.5625,0.91581853,6.73,,,,,,,,
Recombiner 201 - Current_String_2 (A),7297.2,135,80,0.711462451,10256.62,0.915555868,6.76,,,,,,,,
Recombiner 107 - Current_String_7 (A),7296.9,135,80,0.711462451,10256.19833,0.915518228,6.76,,,,,,,,
Recombiner 204 - Current_String_8 (A),9113.4,168.75,100,0.889328063,10247.512,0.914742843,8.53,,,,,,,,
Recombiner 205 - Current_String_5 (A),9113.3,168.75,100,0.889328063,10247.39956,0.914732806,8.53,,,,,,,,
Recombiner 103 - Current_String_19 (A),8380,155.25,90,0.818181818,10242.22222,0.914270652,7.72,,,,,,,,
Recombiner 204 - Current_String_15 (A),9106.1,168.75,100,0.889328063,10239.30356,0.914010118,8.6,,,,,,,,
Recombiner 201 - Current_String_1 (A),7284.3,135,80,0.711462451,10238.48833,0.913937347,6.89,,,,,,,,
Recombiner 102 - Current_String_15 (A),9305.2,172.5,100,0.909090909,10235.72,0.913690232,8.63,,,,,,,,
Recombiner 202 - Current_String_17 (A),9296.9,172.5,100,0.909090909,10226.59,0.912875244,8.71,,,,,,,,
Recombiner 107 - Current_String_15 (A),7274.7,135,80,0.711462451,10224.995,0.912732866,6.98,,,,,,,,
Recombiner 202 - Current_String_12 (A),9295.2,172.5,100,0.909090909,10224.72,0.912708318,8.73,,,,,,,,
Recombiner 204 - Current_String_9 (A),9092.1,168.75,100,0.889328063,10223.56133,0.91260489,8.74,,,,,,,,
Recombiner 202 - Current_String_7 (A),9291.2,172.5,100,0.909090909,10220.32,0.912315553,8.77,,,,,,,,
Recombiner 104 - Current_String_5 (A),9288.5,172.5,100,0.909090909,10217.35,0.912050436,8.79,,,,,,,,
Recombiner 102 - Current_String_16 (A),7429.5,138,80,0.727272727,10215.5625,0.911890875,7.05,,,,,,,,
Recombiner 202 - Current_String_10 (A),9283.3,172.5,100,0.909090909,10211.63,0.911539841,8.85,,,,,,,,
Recombiner 207 - Current_String_3 (A),9070.4,168.75,100,0.889328063,10199.16089,0.910426788,8.96,,,,,,,,
Recombiner 204 - Current_String_11 (A),9063.5,168.75,100,0.889328063,10191.40222,0.909734211,9.03,,,,,,,,
Recombiner 104 - Current_String_13 (A),7411.4,138,80,0.727272727,10190.675,0.909669296,7.23,,,,,,,,
Recombiner 105 - Current_String_4 (A),9251.1,172.5,100,0.909090909,10176.21,0.908378079,9.16,,,,,,,,
Recombiner 106 - Current_String_11 (A),9045.8,168.75,100,0.889328063,10171.49956,0.907957602,9.2,,,,,,,,
Recombiner 105 - Current_String_8 (A),9241.9,172.5,100,0.909090909,10166.09,0.907474719,9.25,,,,,,,,
Recombiner 105 - Current_String_9 (A),9241.6,172.5,100,0.909090909,10165.76,0.907445262,9.26,,,,,,,,
Recombiner 207 - Current_String_2 (A),9038.9,168.75,100,0.889328063,10163.74089,0.907265026,9.27,,,,,,,,
Recombiner 204 - Current_String_13 (A),9038.8,168.75,100,0.889328063,10163.62844,0.907254989,9.27,,,,,,,,
Recombiner 106 - Current_String_14 (A),9035.1,168.75,100,0.889328063,10159.468,0.906883607,9.31,,,,,,,,
Recombiner 104 - Current_String_18 (A),9235.1,172.5,100,0.909090909,10158.61,0.906807018,9.32,,,,,,,,
Recombiner 102 - Current_String_13 (A),9231.2,172.5,100,0.909090909,10154.32,0.906424071,9.36,,,,,,,,
