,Sum_of_CBX,DC_Rating,String_count,Relative_DC,Sum_of_CBX/Relative_DC,Sum/Top_performer,Estimated_Downstrings
Recombiner 101 - Current_String_1 (A),5069.099999999999,172.5,100,0.9090909090909091,5576.009999999999,0.9226442911486867,7.7355708851313265
Recombiner 101 - Current_String_2 (A),4644.200000000001,172.5,100,0.9090909090909091,5108.620000000001,0.8453067836406329,15.469321635936705
Recombiner 101 - Current_String_3 (A),4694.599999999999,172.5,100,0.9090909090909091,5164.0599999999995,0.8544802606432355,14.551973935676454
Recombiner 101 - Current_String_4 (A),5177.5,172.5,100,0.9090909090909091,5695.25,0.9423745472415865,5.7625452758413465
Recombiner 101 - Current_String_5 (A),5187.599999999999,172.5,100,0.9090909090909091,5706.36,0.9442128829107589,5.578711708924111
Recombiner 101 - Current_String_6 (A),5230.700000000001,172.5,100,0.9090909090909091,5753.770000000001,0.9520576618554453,4.794233814455473
Recombiner 101 - Current_String_7 (A),4146.9,138.0,80,0.7272727272727273,5701.987499999999,0.9434893795162083,4.520849638703339
Recombiner 101 - Current_String_8 (A),4724.4,172.5,100,0.9090909090909091,5196.84,0.859904260934457,14.009573906554296
Recombiner 101 - Current_String_9 (A),3653.3999999999996,138.0,80,0.7272727272727273,5023.424999999999,0.8312098432864345,13.503212537085236
Recombiner 101 - Current_String_10 (A),4755.400000000001,172.5,100,0.9090909090909091,5230.9400000000005,0.8655466773447882,13.44533226552118
Recombiner 101 - Current_String_11 (A),5088.700000000001,172.5,100,0.9090909090909091,5597.570000000001,0.9262117544274769,7.378824557252306
Recombiner 101 - Current_String_12 (A),4076.7999999999997,138.0,80,0.7272727272727273,5605.599999999999,0.9275404524853934,5.796763801168527
Recombiner 101 - Current_String_13 (A),4811.6,172.5,100,0.9090909090909091,5292.76,0.8757758322564206,12.422416774357936
Recombiner 101 - Current_String_14 (A),4624.999999999999,172.5,100,0.9090909090909091,5087.499999999999,0.8418121257348792,15.818787426512081
Recombiner 101 - Current_String_15 (A),4036.7000000000003,138.0,80,0.7272727272727273,5550.462500000001,0.9184170291767534,6.526637665859729
Recombiner 101 - Current_String_16 (A),4976.800000000001,172.5,100,0.9090909090909091,5474.480000000001,0.9058444513205078,9.415554867949217
Recombiner 101 - Current_String_17 (A),3804.2,138.0,80,0.7272727272727273,5230.775,0.8655193753298994,10.758449973608046
Recombiner 101 - Current_String_18 (A),3840.6000000000004,138.0,80,0.7272727272727273,5280.825000000001,0.8738009865128049,10.095921078975607
Recombiner 101 - Current_String_19 (A),3027.6,120.75,70,0.6363636363636364,4757.657142857142,0.7872340978764233,14.89361314865037
Recombiner 102 - Current_String_1 (A),5251.099999999999,172.5,100,0.9090909090909091,5776.21,0.955770735880308,4.422926411969197
Recombiner 102 - Current_String_2 (A),5229.799999999999,172.5,100,0.9090909090909091,5752.78,0.9518938497661128,4.810615023388721
Recombiner 102 - Current_String_3 (A),5153.299999999999,172.5,100,0.9090909090909091,5668.629999999999,0.9379698221728764,6.203017782712362
Recombiner 102 - Current_String_4 (A),4611.0,172.5,100,0.9090909090909091,5072.1,0.8392639376786009,16.073606232139916
Recombiner 102 - Current_String_5 (A),4012.6000000000004,138.0,80,0.7272727272727273,5517.325000000001,0.9129338745199398,6.965290038404817
Recombiner 102 - Current_String_6 (A),5189.0,172.5,100,0.9090909090909091,5707.900000000001,0.9444677017163868,5.553229828361317
Recombiner 102 - Current_String_7 (A),5331.5,172.5,100,0.9090909090909091,5864.650000000001,0.9704046158606507,2.9595384139349257
Recombiner 102 - Current_String_8 (A),4213.8,155.25,90,0.8181818181818182,5150.2,0.8521868913925849,13.303179774667363
Recombiner 102 - Current_String_9 (A),3961.1000000000004,138.0,80,0.7272727272727273,5446.512500000001,0.9012167597968732,7.902659216250143
Recombiner 102 - Current_String_10 (A),3735.1000000000004,138.0,80,0.7272727272727273,5135.762500000001,0.8497979650898239,12.016162792814091
Recombiner 102 - Current_String_11 (A),3996.0,138.0,80,0.7272727272727273,5494.5,0.9091570957936697,7.2674323365064275
Recombiner 102 - Current_String_12 (A),4798.200000000001,172.5,100,0.9090909090909091,5278.020000000001,0.873336852259697,12.666314774030296
Recombiner 102 - Current_String_13 (A),5329.4,172.5,100,0.9090909090909091,5862.34,0.9700223876522088,2.997761234779117
Recombiner 102 - Current_String_14 (A),4884.7,172.5,100,0.9090909090909091,5373.17,0.8890810141788466,11.091898582115345
Recombiner 102 - Current_String_15 (A),5494.099999999999,172.5,100,0.9090909090909091,6043.509999999999,1.0,0.0
Recombiner 102 - Current_String_16 (A),4074.4,138.0,80,0.7272727272727273,5602.3,0.9269944121876196,5.840447024990434
Recombiner 102 - Current_String_17 (A),4213.0,138.0,80,0.7272727272727273,5792.875,0.9585282393840666,3.3177408492746707
Recombiner 102 - Current_String_18 (A),3771.6,138.0,80,0.7272727272727273,5185.95,0.8581023279518029,11.351813763855771
Recombiner 102 - Current_String_19 (A),5010.700000000001,172.5,100,0.9090909090909091,5511.770000000001,0.9120147066853537,8.798529331464632
Recombiner 103 - Current_String_1 (A),4218.6,138.0,80,0.7272727272727273,5800.575000000001,0.959802333412206,3.21581332702352
Recombiner 103 - Current_String_2 (A),4139.2,138.0,80,0.7272727272727273,5691.4,0.9417375002275168,4.660999981798657
Recombiner 103 - Current_String_3 (A),4990.0,172.5,100,0.9090909090909091,5489.0,0.908247028630713,9.175297136928695
Recombiner 103 - Current_String_4 (A),5159.700000000001,172.5,100,0.9090909090909091,5675.670000000001,0.9391347081414612,6.086529185853884
Recombiner 103 - Current_String_5 (A),4158.3,138.0,80,0.7272727272727273,5717.6625,0.9460830709306348,4.313354325549215
