Project Name,Start_Date,End_Date,Equipment_Name,Loss_Category,Energy_loss_MWh,Revenue Loss
ISS 59,2022-07-01 00:00:00,2022-08-01 00:00:00,02.012.BLK01.PAD01.INV02 ,Inverter Outage,88.77408300191665,6074.81
ISS 59,2022-07-03 10:35:00,2022-07-04 05:40:00,02.012.BLK01.PAD01.INV04 ,Inverter Outage,2.3545566677626635,161.12
ISS 59,2022-07-06 05:55:00,2022-07-07 06:40:00,02.012.BLK01.PAD01.INV04 ,Inverter Outage,3.455857387766242,236.48
ISS 59,2022-07-07 19:05:00,2022-07-09 06:40:00,02.012.BLK01.PAD01.INV04 ,Inverter Outage,1.8948646361403172,129.67
ISS 59,2022-07-09 10:50:00,2022-07-10 06:00:00,02.012.BLK01.PAD01.INV04 ,Inverter Outage,2.205480046169957,150.92
ISS 59,2022-07-13 10:30:00,2022-07-14 05:50:00,02.012.BLK01.PAD01.INV04 ,Inverter Outage,1.2119515809975565,82.93
ISS 59,2022-07-18 12:30:00,2022-07-19 05:50:00,02.012.BLK01.PAD01.INV04 ,Inverter Outage,1.975284833966444,135.17
ISS 59,2022-07-23 10:45:00,2022-07-24 05:55:00,02.012.BLK01.PAD01.INV04 ,Inverter Outage,2.7118343425475895,185.57
ISS 59,2022-07-25 08:35:00,2022-07-26 06:00:00,02.012.BLK01.PAD01.INV04 ,Inverter Outage,2.6220017693599895,179.42
ISS 59,2022-07-27 09:40:00,2022-07-28 05:55:00,02.012.BLK01.PAD01.INV04 ,Inverter Outage,2.6076917307908336,178.44
ISS 59,2022-07-31 10:45:00,2022-08-01 00:00:00,02.012.BLK01.PAD01.INV04 ,Inverter Outage,1.1208916644728018,76.7
